t_cam_ns,t_recv_ns,frame_id,cx,cy,vx,vy,conf,x,y,z,roll,pitch,yaw,gripper,cartesian_v,joint_v
1757819274658333367,1757819274665846373,1,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819274958718193,1757819274965503427,2,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819274992036812,1757819274998743967,3,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275025425062,1757819275032320799,4,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275058744272,1757819275066406368,5,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275092153661,1757819275099030936,6,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275125570225,1757819275132678038,7,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275158832785,1757819275165895053,8,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275192243441,1757819275199269310,9,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275225698833,1757819275232759227,10,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275258957921,1757819275266090748,11,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275292350167,1757819275300417130,12,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275325753332,1757819275333954743,13,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275359134173,1757819275366455615,14,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275392510428,1757819275400375153,15,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275425957591,1757819275433207717,16,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275459255184,1757819275466541762,17,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275492559084,1757819275499514240,18,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275526063091,1757819275533265874,19,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275559286936,1757819275567544533,20,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275592748070,1757819275600232764,21,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275626151371,1757819275633349386,22,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275659477827,1757819275668305258,23,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275692851768,1757819275700445962,24,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275726243447,1757819275733839226,25,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275759536689,1757819275767083992,26,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275792956878,1757819275800116351,27,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275826375827,1757819275833589060,28,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275859729722,1757819275867116535,29,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275893094574,1757819275900235225,30,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275926560982,1757819275933496238,31,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275959850305,1757819275967202853,32,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
1757819275993211981,1757819276000426886,33,-1,-1,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
