t_cam_ns,frame_id,ball_px_cx,ball_px_cy,ball_px_radius,ball_cam_x,ball_cam_y,ball_cam_z,ball_world_x,ball_world_y,ball_world_z,ball_world_vx,ball_world_vy,ball_world_vz,ee_x,ee_y,ee_z,ee_roll,ee_pitch,ee_yaw,ee_vx,ee_vy,ee_vz,ee_wx,ee_wy,ee_wz,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,gripper_ratio
1758245369850540684,0,684,422,35.0,1.223,-0.05942261906611492,-0.09836158177148074,1.1292171302325225,0.0604328746498043,0.06363972725653078,0.0,0.0,0.0,0.3148130905590416,-0.0022814303652643124,0.4468030854552654,0.117735190991625,0.17926879003310578,-0.006020453983254418,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555844460652887,-1.266101866168279,0.6164810955323036,-2.502193080755582,0.7476641778487222,1.4522181657011255,-0.10153472695273145,0.0005264491300358194,-0.00015132058666008242,-0.000726942585094745,0.0002694651133278099,3.8885595511131785e-05,0.00026579490495032943,-0.00021562824652743675,0.0012263879179954529
1758245369948798012,1,684,422,35.0,1.224,-0.059473713321545794,-0.09844615750817161,1.1292320736635049,0.060380608058789496,0.06263632925761131,0.00015208464637269512,-0.0005319358065059717,-0.01021194061901891,0.3148118577956761,-0.0022828972027332793,0.4468017194281286,0.11773343141242701,0.1792700716666939,-0.006023181287076582,0.0,0.0,0.0,0.0,0.0,0.0,-1.155586488227674,-1.266103591747399,0.6164771914990151,-2.502196243278184,0.7476673569268516,1.4522151836676658,-0.10154207136884423,-0.0009919551731915647,0.0008986736181008545,-0.0002202851883685242,-0.0016842626840531442,0.0006751906634582377,0.0009937876311998319,-0.00097929957025987,0.001234583556652069
1758245370142655972,2,684,422,35.0,1.226,-0.05957590183240755,-0.09861530898155334,1.1292619605254695,0.06027607487675994,0.06062953325977216,0.00015416886654842434,-0.0005392256373148414,-0.010351888557163968,0.3148109533893267,-0.0022828247199170757,0.44680030087269346,0.1177262788899691,0.17926437153036864,-0.00602624745022066,0.0,0.0,0.0,0.0,0.0,0.0,-1.155586268903093,-1.2661034857835585,0.6164800020294374,-2.502193935895411,0.7476656932486387,1.4522167572288822,-0.10153579090875481,-0.00013442926643721432,0.0007838608749133944,0.001450135784353185,0.0006688320259309608,-0.001182017592010419,-0.00149597678425854,-0.0005485991892270492,0.0012263879179954529
1758245370283007478,3,684,422,35.0,1.22,-0.05926933629982228,-0.09810785456140812,1.1291722999395752,0.06058967442284864,0.06664992125328939,-0.0006388288123834842,0.002234386755270726,0.04289507227316271,0.31481272409314676,-0.0022820889579524854,0.44680225954046004,0.11772730386503344,0.17926875549645155,-0.006024580828406628,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555882663642654,-1.2661018792502314,0.6164754201672578,-2.5021893292603687,0.7476625545989669,1.4522154825983233,-0.10153797030274296,-0.0007194807831135671,-0.00010160447109694475,-0.0005433457762710459,-0.00027238496565932895,-0.00018720969689655075,0.000903300964187362,-0.0008025664139390256,0.0012263879179954529
1758245370345188927,4,684,422,35.0,1.223,-0.05942261906611492,-0.09836158177148074,1.1292171302325225,0.0604328746498043,0.06363972725653078,0.0007209592839693675,-0.0025216487483966953,-0.04840983999518272,0.31481328440338907,-0.0022829278881835256,0.4468027893183965,0.11772186392739462,0.17927057774044564,-0.006020517887766365,0.0,0.0,0.0,0.0,0.0,0.0,-1.155586171789769,-1.2661001657716957,0.6164772151494236,-2.502192886415941,0.7476657324944704,1.4522163872062561,-0.10153993451665065,-0.00012274469384488074,0.0010011030641747648,3.35473457749771e-05,-0.00010878069869564664,-0.0004796263466720124,0.0004499914487731007,-0.0012565902553219976,0.0012099966406822205
1758245370366497448,5,684,422,35.0,1.223,-0.05942261906611492,-0.09836158177148074,1.1292171302325225,0.0604328746498043,0.06363972725653078,0.0,0.0,0.0,0.3148134115363192,-0.0022801754375630237,0.4468041411601906,0.11773333336895966,0.17927272681088144,-0.006025362249717139,0.0,0.0,0.0,0.0,0.0,0.0,-1.155588387872491,-1.2660990167723694,0.6164747053733564,-2.502194669075534,0.7476649896272588,1.4522159952321985,-0.10153614642021754,-0.0002626170679173561,-0.0015201430748206948,0.0012839624750994013,0.0011122395736983893,0.000766127565722634,-0.0005779668273779822,-0.00022077033316681045,0.0012099966406822205
1758245370461925559,6,684,423,35.0,1.225,-0.05952480757697669,-0.10034319269788866,1.1291592251835016,0.05851899763254829,0.06157310197214705,-0.000606792363529151,-0.020055694251938094,-0.021656357468751816,0.31481269285604163,-0.002283651654450778,0.44680397483993584,0.11773010653186688,0.17927149277679785,-0.006021161249976218,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555861708118633,-1.2661055896486715,0.616477088058395,-2.5021948638837643,0.7476633121632442,1.452215134407573,-0.10153388673558787,0.00017949787259547662,-0.0011034452211252331,-0.0015775062554425493,0.0009594074290522963,-0.0007139304345985303,0.0005420206132218727,0.0009533199690768566,0.0012181922793388367
1758245370543116011,7,684,422,35.0,1.227,-0.05962699608783844,-0.09869988471824422,1.1292769039564519,0.06022380828574515,0.05962613526085225,0.0014494164036703944,0.020997674125485418,-0.023980242298623923,0.31481225660486456,-0.002280557352092712,0.44680107537018066,0.1177356114968519,0.17926051688971587,-0.00602137665452796,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555827336118318,-1.2660997334830026,0.6164772032707293,-2.5021918445069105,0.7476641787123203,1.4522154864922827,-0.10153690334116153,0.00043793265833216274,8.821591388212036e-05,0.00023863103598181844,-0.00027439182718549314,0.0007517721648180676,0.0004629901768587098,0.00023041015340482857,0.0012181922793388367
1758245370639438417,8,684,422,35.0,1.224,-0.059473713321545794,-0.09844615750817161,1.1292320736635049,0.060380608058789496,0.06263632925761131,-0.0004654191564421231,0.0016278639576792024,0.03125123345402168,0.31481274171331874,-0.0022833436503265658,0.44680116042240214,0.11772577220114468,0.1792680203464957,-0.006029213344556088,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555844460652887,-1.2661018674382838,0.6164773063050415,-2.5021985400612006,0.7476643349958892,1.4522159995929231,-0.10153654917590446,0.0007706817396870574,-0.0005603922719755136,0.0010498322299952098,0.0008680338341946988,0.0006943054464883121,-0.001060908430955083,0.00015743765382692014,0.001234583556652069
1758245370661160018,9,684,422,35.0,1.228,-0.05967809034326932,-0.09878446045493507,1.1292918473874345,0.060171541694730366,0.05862273726193279,0.0027518102339520764,-0.009624813753789643,-0.18477422523682865,0.31481275058148084,-0.0022816589961961856,0.44680269006580964,0.11773387442306182,0.17927089786094502,-0.00602123847882097,0.0,0.0,0.0,0.0,0.0,0.0,-1.1555844461785059,-1.266100492305893,0.6164771944623683,-2.502195889368711,0.7476649749003342,1.4522151426523335,-0.1015369040442987,-0.00021981405884267816,-0.000659163880050652,0.002112226805589605,-0.00157130632968754,-0.0008636512304062377,-8.29866005620858e-05,0.0006747429492748645,0.001234583556652069
