t_ns,cx,cy,r_px,bx,by,bz,ee_x,ee_y,ee_z,ee_r,ee_p,ee_yaw,vx,vy,vz,wx,wy,wz
1758229621102628269,212,288,25.0,-0.19703414634146343,0.08757073170731709,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621125691946,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621139465272,212,288,25.0,-0.19738536585365854,0.08772682926829269,1.124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621172463335,212,288,25.0,-0.1958048780487805,0.08702439024390243,1.115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621206011441,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621240202801,212,288,25.0,-0.19703414634146343,0.08757073170731709,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621274276474,212,288,25.0,-0.19720975609756097,0.08764878048780488,1.123,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621307952564,212,289,25.0,-0.19650731707317073,0.08915609756097562,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621340472052,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621373685674,212,288,25.0,-0.1961560975609756,0.08718048780487805,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621408852257,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621444442025,212,288,25.0,-0.19703414634146343,0.08757073170731709,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621474005798,212,288,25.0,-0.1975609756097561,0.08780487804878048,1.125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621511138679,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621539881651,212,289,25.0,-0.1963317073170732,0.08907642276422764,1.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621574434137,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621608049590,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621641346065,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621674984593,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621708103083,212,288,25.0,-0.19703414634146343,0.08757073170731709,1.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621741537810,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621774862582,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621808071033,212,288,25.0,-0.19685853658536584,0.08749268292682927,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621841739102,212,289,25.0,-0.19685853658536584,0.08931544715447155,1.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621875245233,212,289,25.0,-0.1958048780487805,0.08883739837398373,1.115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621908272945,212,288,25.0,-0.19598048780487806,0.08710243902439026,1.116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621942395802,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229621974336311,212,288,25.0,-0.19598048780487806,0.08710243902439026,1.116,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622007656555,212,289,25.0,-0.1961560975609756,0.08899674796747967,1.117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622041117863,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622074507969,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622107820489,212,288,25.0,-0.19650731707317073,0.08733658536585366,1.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1758229622141429958,212,288,25.0,-0.1958048780487805,0.08702439024390243,1.115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
